Row.names,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast,CellType_PC1,CellType_PC2,CellType_PC3,CellType_PC4,CellType_PC5,Sample_Name,sample_id,Predicted_Sex
203541700068_R04C01_PLAC,0.021954987,0,0.005065895,0.002912286,0.019978374,0.950088457,0.683237493,1.86452824,-1.392326971,-0.515183133,0.009985453,5851_CRDPL,5851,Female
203541700068_R06C01_PLAC,0.105126398,0,0,0.031869512,0.004275403,0.858728687,3.771739218,-1.394284164,0.904162822,-0.351001496,-0.042721402,5892_CRDPL,5892,Male
203541700068_R08C01_PLAC,0.036825147,0,0.001081473,0,0,0.96209338,2.864508836,2.617780729,-1.183277418,-5.122974299,-0.111967015,5880_CRDPL,5880,Female
203541700069_R01C01_PLAC,0,0,0,0.009233599,0.020746637,0.970019764,-2.601135224,-2.906682842,-0.532644882,0.255520607,-5.20E-05,5890_crdpl,5890,Female
203541700069_R03C01_PLAC,0,0,0.017698503,0.008157835,0.067561101,0.906582562,-4.830603404,1.182162587,-0.827288302,0.624955324,-0.023586151,5875_CRDPL,5875,Female
203541700069_R06C01_PLAC,0,0,0.00908759,4.28E-04,0.012719006,0.977765808,-4.13041065,1.678938004,-2.10695714,-1.432945991,-0.038704262,6002_CRDPL,6002,Male
203541700070_R02C01_PLAC,0,0.00128891,0,0.005852099,0.016337615,0.976521376,-2.85632545,-3.506057159,-1.050799709,-1.223090094,-1.91539167,5570_CRDPL,5570,Female
203541700070_R04C01_PLAC,0.121567756,0,0.01203596,0,0.024271635,0.842124649,2.017970118,3.923454627,-4.212688996,-1.613437117,-0.107427975,0038_CRDPL,38,Female
203541700070_R07C01_PLAC,0.104763517,3.00E-04,0,0.035909499,0.009694527,0.849331992,3.446976741,-1.961599577,0.375307181,-0.381824363,-1.043085525,5567_CRDPL,5567,Male
203541700078_R04C01_PLAC,0,0,0.010062867,0.001696513,0.014188842,0.974051779,-4.254919376,1.394677715,-1.192214351,-0.934286505,-0.021473688,5755_CRDPL,5755,Male
203541700078_R06C01_PLAC,0,0,0.00451981,0.016495689,0.012114145,0.966870356,-4.035601703,0.144724077,0.583418174,-0.188471184,0.002747921,5620_CRDPL,5620,Female
203541700079_R01C01_PLAC,0,0,0,4.83E-04,0.010167489,0.98934954,-2.325821883,-2.00430217,-2.31571801,-1.202098211,-0.038279732,6081_CRDPL,6081,Female
203541700079_R03C01_PLAC,0.125167111,0,0.00564154,0.026248034,0.023074501,0.819868814,2.050879167,1.744245441,0.152185206,0.39239052,-0.045304209,6059_CRDPL,6059,Male
203541700079_R07C01_PLAC,0.086025672,0,0,0.019914198,0.01590619,0.87815394,3.380465543,-1.525775998,-0.206286958,0.332609251,-0.015518381,5517_CRDPL,5517,Female
203541700080_R01C01_PLAC,0.053006483,0,0.004598136,0,0.01823271,0.924162672,1.698282756,2.981034468,-4.09223961,-1.765898409,-0.054743226,5906_CRDPL,5906,Female
203541700080_R04C01_PLAC,0.029871856,0,0.05143855,0.032683669,0.067524972,0.818480953,-0.27735586,2.973777413,-2.25E-04,1.023788395,-0.03359378,5904_crdpl,5904,Female
203541700080_R07C01_PLAC,0,0,0,0,0.006494211,0.993505789,-2.151057623,-1.42936155,-3.452495984,-2.119736557,-0.068207671,5867_CRDPL,5867,Female
